Time,wind_speed[unit:m/s]_0
1984-04-28 00:00:00Z,3.882892608642578
1984-04-29 00:00:00Z,3.4824821949005127
1984-04-30 00:00:00Z,3.434025526046753
1984-05-01 00:00:00Z,4.915048122406006
1984-05-02 00:00:00Z,4.306886196136475
1984-05-03 00:00:00Z,4.259389877319336
1984-05-04 00:00:00Z,4.722055912017822
1984-05-05 00:00:00Z,4.767744541168213
1984-05-06 00:00:00Z,3.741795778274536
1984-05-07 00:00:00Z,3.2355551719665527
1984-05-08 00:00:00Z,3.0024943351745605
1984-05-09 00:00:00Z,3.855473756790161
1984-05-10 00:00:00Z,4.185064792633057
1984-05-11 00:00:00Z,3.5190060138702393
1984-05-12 00:00:00Z,2.8260951042175293
1984-05-13 00:00:00Z,3.6577541828155518
1984-05-14 00:00:00Z,5.919116973876953
1984-05-15 00:00:00Z,5.262747764587402
1984-05-16 00:00:00Z,3.147603988647461
1984-05-17 00:00:00Z,3.3980321884155273
1984-05-18 00:00:00Z,2.520047664642334
1984-05-19 00:00:00Z,2.828523635864258
1984-05-20 00:00:00Z,4.08662223815918
1984-05-21 00:00:00Z,3.765451192855835
1984-05-22 00:00:00Z,3.412092685699463
1984-05-23 00:00:00Z,4.498933792114258
1984-05-24 00:00:00Z,4.590271472930908
1984-05-25 00:00:00Z,3.9580328464508057
1984-05-26 00:00:00Z,3.7568180561065674
1984-05-27 00:00:00Z,3.3748579025268555
1984-05-28 00:00:00Z,2.660046100616455
1984-05-29 00:00:00Z,3.0314526557922363
1984-05-30 00:00:00Z,4.137556076049805
1984-05-31 00:00:00Z,4.744985103607178
1984-06-01 00:00:00Z,3.45412540435791
1984-06-02 00:00:00Z,4.308422088623047
1984-06-03 00:00:00Z,3.799038887023926
1984-06-04 00:00:00Z,4.710480690002441
1984-06-05 00:00:00Z,4.276689052581787
1984-06-06 00:00:00Z,5.836542129516602
1984-06-07 00:00:00Z,4.593474864959717
1984-06-08 00:00:00Z,4.252002239227295
1984-06-09 00:00:00Z,4.591789245605469
1984-06-10 00:00:00Z,5.000598907470703
1984-06-11 00:00:00Z,3.439364433288574
1984-06-12 00:00:00Z,3.7723581790924072
1984-06-13 00:00:00Z,3.134568929672241
1984-06-14 00:00:00Z,3.8055307865142822
1984-06-15 00:00:00Z,3.271566390991211
1984-06-16 00:00:00Z,3.0069732666015625
1984-06-17 00:00:00Z,3.2679708003997803
1984-06-18 00:00:00Z,3.493957042694092
1984-06-19 00:00:00Z,3.956646680831909
1984-06-20 00:00:00Z,4.345412731170654
1984-06-21 00:00:00Z,3.9079017639160156
1984-06-22 00:00:00Z,3.1446704864501953
1984-06-23 00:00:00Z,3.313847541809082
1984-06-24 00:00:00Z,3.0192112922668457
1984-06-25 00:00:00Z,3.1594057083129883
1984-06-26 00:00:00Z,3.2510364055633545
1984-06-27 00:00:00Z,2.9075398445129395
1984-06-28 00:00:00Z,3.9082655906677246
1984-06-29 00:00:00Z,4.446561813354492
1984-06-30 00:00:00Z,3.496474027633667
1984-07-01 00:00:00Z,2.968682289123535
1984-07-02 00:00:00Z,3.282721996307373
1984-07-03 00:00:00Z,2.9873147010803223
1984-07-04 00:00:00Z,2.840294122695923
1984-07-05 00:00:00Z,3.1963977813720703
1984-07-06 00:00:00Z,3.632338047027588
1984-07-07 00:00:00Z,4.1118245124816895
1984-07-08 00:00:00Z,4.1649980545043945
1984-07-09 00:00:00Z,3.859058380126953
1984-07-10 00:00:00Z,3.2095799446105957
1984-07-11 00:00:00Z,3.2749383449554443
1984-07-12 00:00:00Z,3.4252703189849854
1984-07-13 00:00:00Z,3.2342138290405273
1984-07-14 00:00:00Z,3.0050628185272217
1984-07-15 00:00:00Z,3.03821063041687
1984-07-16 00:00:00Z,2.6398191452026367
1984-07-17 00:00:00Z,2.8872554302215576
1984-07-18 00:00:00Z,3.3316164016723633
1984-07-19 00:00:00Z,3.140061616897583
1984-07-20 00:00:00Z,3.8195371627807617
1984-07-21 00:00:00Z,4.1103081703186035
1984-07-22 00:00:00Z,3.745258092880249
1984-07-23 00:00:00Z,2.5568580627441406
1984-07-24 00:00:00Z,2.924030303955078
1984-07-25 00:00:00Z,3.34360933303833
1984-07-26 00:00:00Z,3.312732219696045
1984-07-27 00:00:00Z,3.6328377723693848
1984-07-28 00:00:00Z,3.3890342712402344
1984-07-29 00:00:00Z,2.4679315090179443
1984-07-30 00:00:00Z,2.4546127319335938
1984-07-31 00:00:00Z,2.8270797729492188
1984-08-01 00:00:00Z,3.582960605621338
1984-08-02 00:00:00Z,3.583359479904175
1984-08-03 00:00:00Z,3.011237859725952
1984-08-04 00:00:00Z,3.2598087787628174
1984-08-05 00:00:00Z,3.7920122146606445
1984-08-06 00:00:00Z,2.942915201187134
1984-08-07 00:00:00Z,2.5032832622528076
1984-08-08 00:00:00Z,2.8567395210266113
1984-08-09 00:00:00Z,3.5365259647369385
1984-08-10 00:00:00Z,3.5858383178710938
1984-08-11 00:00:00Z,3.354097604751587
1984-08-12 00:00:00Z,3.4684059619903564
1984-08-13 00:00:00Z,3.5962271690368652
1984-08-14 00:00:00Z,3.327390670776367
1984-08-15 00:00:00Z,3.669325590133667
1984-08-16 00:00:00Z,3.0102250576019287
1984-08-17 00:00:00Z,2.985403299331665
1984-08-18 00:00:00Z,3.837160587310791
1984-08-19 00:00:00Z,3.341357946395874
1984-08-20 00:00:00Z,2.5829505920410156
1984-08-21 00:00:00Z,2.7576026916503906
1984-08-22 00:00:00Z,3.288449287414551
1984-08-23 00:00:00Z,3.72652530670166
1984-08-24 00:00:00Z,3.7934517860412598
1984-08-25 00:00:00Z,3.6237235069274902
1984-08-26 00:00:00Z,3.168754816055298
1984-08-27 00:00:00Z,3.420667886734009
1984-08-28 00:00:00Z,2.8656651973724365
1984-08-29 00:00:00Z,2.974693775177002
1984-08-30 00:00:00Z,3.7854294776916504
1984-08-31 00:00:00Z,4.481961250305176
1984-09-01 00:00:00Z,3.3095273971557617
1984-09-02 00:00:00Z,2.728756904602051
1984-09-03 00:00:00Z,2.7955169677734375
1984-09-04 00:00:00Z,3.4306342601776123
1984-09-05 00:00:00Z,4.270118236541748
1984-09-06 00:00:00Z,4.018032550811768
1984-09-07 00:00:00Z,3.740363597869873
1984-09-08 00:00:00Z,3.2402195930480957
1984-09-09 00:00:00Z,3.4193294048309326
1984-09-10 00:00:00Z,4.063107013702393
1984-09-11 00:00:00Z,4.3511528968811035
1984-09-12 00:00:00Z,2.9752097129821777
1984-09-13 00:00:00Z,2.165168285369873
1984-09-14 00:00:00Z,2.6936886310577393
1984-09-15 00:00:00Z,3.250229835510254
1984-09-16 00:00:00Z,2.589664936065674
1984-09-17 00:00:00Z,2.2151520252227783
1984-09-18 00:00:00Z,2.282992124557495
1984-09-19 00:00:00Z,2.515986204147339
1984-09-20 00:00:00Z,3.814476490020752
1984-09-21 00:00:00Z,4.176927089691162
1984-09-22 00:00:00Z,4.209557056427002
1984-09-23 00:00:00Z,4.268237590789795
1984-09-24 00:00:00Z,3.848891019821167
1984-09-25 00:00:00Z,2.883836269378662
1984-09-26 00:00:00Z,2.5376229286193848
1984-09-27 00:00:00Z,2.189547538757324
1984-09-28 00:00:00Z,2.180054187774658
1984-09-29 00:00:00Z,2.8828659057617188
1984-09-30 00:00:00Z,4.818690776824951
1984-10-01 00:00:00Z,4.404477596282959
1984-10-02 00:00:00Z,2.134204387664795
1984-10-03 00:00:00Z,2.7330501079559326
1984-10-04 00:00:00Z,2.8282885551452637
1984-10-05 00:00:00Z,2.3984384536743164
1984-10-06 00:00:00Z,2.439089775085449
1984-10-07 00:00:00Z,2.3164799213409424
1984-10-08 00:00:00Z,3.231516122817993
1984-10-09 00:00:00Z,2.9068603515625
1984-10-10 00:00:00Z,3.870978832244873
1984-10-11 00:00:00Z,4.2459893226623535
1984-10-12 00:00:00Z,3.582982063293457
1984-10-13 00:00:00Z,3.7410783767700195
1984-10-14 00:00:00Z,4.6729865074157715
1984-10-15 00:00:00Z,5.345315933227539
1984-10-16 00:00:00Z,4.306075096130371
1984-10-17 00:00:00Z,4.951535701751709
1984-10-18 00:00:00Z,3.244736909866333
1984-10-19 00:00:00Z,2.9855575561523438
1984-10-20 00:00:00Z,3.6607236862182617
1984-10-21 00:00:00Z,2.8608627319335938
1984-10-22 00:00:00Z,2.8386783599853516
1984-10-23 00:00:00Z,3.8305068016052246
1984-10-24 00:00:00Z,3.854295492172241
1984-10-25 00:00:00Z,3.302163600921631
1984-10-26 00:00:00Z,4.307157039642334
1984-10-27 00:00:00Z,3.742779493331909
1984-10-28 00:00:00Z,3.1642298698425293
1984-10-29 00:00:00Z,2.4010002613067627
1984-10-30 00:00:00Z,3.0290961265563965
1984-10-31 00:00:00Z,3.2710185050964355
1984-11-01 00:00:00Z,3.358818769454956
1984-11-02 00:00:00Z,6.009547233581543
1984-11-03 00:00:00Z,3.692122459411621
1984-11-04 00:00:00Z,2.615388870239258
1984-11-05 00:00:00Z,3.1441454887390137
1984-11-06 00:00:00Z,4.325623989105225
1984-11-07 00:00:00Z,3.396359920501709
1984-11-08 00:00:00Z,5.840229034423828
1984-11-09 00:00:00Z,3.5146799087524414
