"Time","air_temperature.unit.K._4"
"1984-05-01 00:00:00Z",274.949249267578
"1984-05-02 00:00:00Z",276.258636474609
"1984-05-03 00:00:00Z",277.686737060547
"1984-05-04 00:00:00Z",276.353546142578
"1984-05-05 00:00:00Z",273.475891113281
"1984-05-06 00:00:00Z",272.73095703125
"1984-05-07 00:00:00Z",275.161254882812
"1984-05-08 00:00:00Z",280.341156005859
"1984-05-09 00:00:00Z",280.022491455078
"1984-05-10 00:00:00Z",278.782623291016
"1984-05-11 00:00:00Z",279.952667236328
"1984-05-12 00:00:00Z",280.371643066406
"1984-05-13 00:00:00Z",282.352996826172
"1984-05-14 00:00:00Z",278.229858398438
"1984-05-15 00:00:00Z",272.981140136719
"1984-05-16 00:00:00Z",272.962677001953
"1984-05-17 00:00:00Z",278.220367431641
"1984-05-18 00:00:00Z",278.20556640625
"1984-05-19 00:00:00Z",281.832763671875
"1984-05-20 00:00:00Z",282.047027587891
"1984-05-21 00:00:00Z",279.855773925781
"1984-05-22 00:00:00Z",280.749053955078
"1984-05-23 00:00:00Z",282.998138427734
"1984-05-24 00:00:00Z",279.180816650391
"1984-05-25 00:00:00Z",279.031646728516
"1984-05-26 00:00:00Z",281.468231201172
"1984-05-27 00:00:00Z",281.914520263672
"1984-05-28 00:00:00Z",285.1259765625
"1984-05-29 00:00:00Z",287.038024902344
"1984-05-30 00:00:00Z",286.592193603516
"1984-05-31 00:00:00Z",281.062469482422
"1984-06-01 00:00:00Z",278.997924804688
"1984-06-02 00:00:00Z",280.688995361328
"1984-06-03 00:00:00Z",278.085601806641
"1984-06-04 00:00:00Z",279.352996826172
"1984-06-05 00:00:00Z",275.937072753906
"1984-06-06 00:00:00Z",277.276062011719
"1984-06-07 00:00:00Z",275.363922119141
"1984-06-08 00:00:00Z",275.697326660156
"1984-06-09 00:00:00Z",276.926635742188
"1984-06-10 00:00:00Z",275.84619140625
"1984-06-11 00:00:00Z",278.316009521484
"1984-06-12 00:00:00Z",279.370483398438
"1984-06-13 00:00:00Z",279.662811279297
"1984-06-14 00:00:00Z",280.472595214844
"1984-06-15 00:00:00Z",281.919067382812
"1984-06-16 00:00:00Z",283.160797119141
"1984-06-17 00:00:00Z",283.562194824219
"1984-06-18 00:00:00Z",283.493499755859
"1984-06-19 00:00:00Z",283.109710693359
"1984-06-20 00:00:00Z",280.913848876953
"1984-06-21 00:00:00Z",278.324615478516
"1984-06-22 00:00:00Z",280.3544921875
"1984-06-23 00:00:00Z",283.842620849609
"1984-06-24 00:00:00Z",285.538330078125
"1984-06-25 00:00:00Z",285.038696289062
"1984-06-26 00:00:00Z",284.398040771484
"1984-06-27 00:00:00Z",284.900238037109
"1984-06-28 00:00:00Z",286.524871826172
"1984-06-29 00:00:00Z",284.695434570312
"1984-06-30 00:00:00Z",281.450836181641
"1984-07-01 00:00:00Z",284.768890380859
"1984-07-02 00:00:00Z",287.129638671875
"1984-07-03 00:00:00Z",288.104064941406
"1984-07-04 00:00:00Z",288.282592773438
"1984-07-05 00:00:00Z",288.637359619141
"1984-07-06 00:00:00Z",288.901489257812
"1984-07-07 00:00:00Z",287.555145263672
"1984-07-08 00:00:00Z",285.543792724609
"1984-07-09 00:00:00Z",283.834930419922
"1984-07-10 00:00:00Z",283.842987060547
"1984-07-11 00:00:00Z",285.825744628906
"1984-07-12 00:00:00Z",285.607055664062
"1984-07-13 00:00:00Z",286.726104736328
"1984-07-14 00:00:00Z",288.706787109375
