Time,air_temperature[unit:K]_0
1997-05-02 00:00:00Z,279.8714904785156
1997-05-03 00:00:00Z,281.23681640625
1997-05-04 00:00:00Z,282.878173828125
1997-05-05 00:00:00Z,283.68310546875
1997-05-06 00:00:00Z,284.3951721191406
1997-05-07 00:00:00Z,283.45245361328125
1997-05-08 00:00:00Z,283.64862060546875
1997-05-09 00:00:00Z,284.6412658691406
1997-05-10 00:00:00Z,286.1605224609375
1997-05-11 00:00:00Z,286.9457702636719
1997-05-12 00:00:00Z,286.58966064453125
1997-05-13 00:00:00Z,286.70904541015625
1997-05-14 00:00:00Z,285.8470153808594
1997-05-15 00:00:00Z,285.9073791503906
1997-05-16 00:00:00Z,286.9978332519531
1997-05-17 00:00:00Z,288.7265625
1997-05-18 00:00:00Z,288.2281188964844
1997-05-19 00:00:00Z,287.1051025390625
1997-05-20 00:00:00Z,285.0671691894531
1997-05-21 00:00:00Z,283.4541931152344
1997-05-22 00:00:00Z,284.17279052734375
1997-05-23 00:00:00Z,283.39825439453125
1997-05-24 00:00:00Z,281.9031677246094
1997-05-25 00:00:00Z,280.29815673828125
1997-05-26 00:00:00Z,282.77301025390625
1997-05-27 00:00:00Z,285.45050048828125
1997-05-28 00:00:00Z,287.3016662597656
1997-05-29 00:00:00Z,288.2802429199219
1997-05-30 00:00:00Z,288.59100341796875
1997-05-31 00:00:00Z,287.9097595214844
1997-06-01 00:00:00Z,285.8975830078125
1997-06-02 00:00:00Z,285.9697265625
1997-06-03 00:00:00Z,286.0176086425781
1997-06-04 00:00:00Z,284.9239807128906
1997-06-05 00:00:00Z,283.8205871582031
1997-06-06 00:00:00Z,283.245361328125
1997-06-07 00:00:00Z,285.51495361328125
1997-06-08 00:00:00Z,284.8765563964844
1997-06-09 00:00:00Z,285.1707763671875
1997-06-10 00:00:00Z,285.61407470703125
1997-06-11 00:00:00Z,285.86273193359375
1997-06-12 00:00:00Z,284.5204162597656
1997-06-13 00:00:00Z,281.8364562988281
1997-06-14 00:00:00Z,283.7900390625
1997-06-15 00:00:00Z,285.57843017578125
1997-06-16 00:00:00Z,287.5536193847656
1997-06-17 00:00:00Z,289.6221618652344
1997-06-18 00:00:00Z,288.6389465332031
1997-06-19 00:00:00Z,288.2894592285156
1997-06-20 00:00:00Z,287.5990905761719
1997-06-21 00:00:00Z,285.9868469238281
1997-06-22 00:00:00Z,284.2398376464844
1997-06-23 00:00:00Z,283.8335876464844
1997-06-24 00:00:00Z,285.6356506347656
1997-06-25 00:00:00Z,287.4171142578125
1997-06-26 00:00:00Z,287.56805419921875
1997-06-27 00:00:00Z,286.25457763671875
1997-06-28 00:00:00Z,284.44818115234375
1997-06-29 00:00:00Z,283.19744873046875
1997-06-30 00:00:00Z,282.5453796386719
1997-07-01 00:00:00Z,282.1174011230469
1997-07-02 00:00:00Z,284.8146667480469
