Time,air_temperature[unit:K]_0
1984-05-01 00:00:00Z,291.5531005859375
1984-05-02 00:00:00Z,294.8521423339844
1984-05-03 00:00:00Z,297.1790771484375
1984-05-04 00:00:00Z,295.99957275390625
1984-05-05 00:00:00Z,294.3830261230469
1984-05-06 00:00:00Z,296.2345275878906
1984-05-07 00:00:00Z,299.7253112792969
1984-05-08 00:00:00Z,302.4529724121094
1984-05-09 00:00:00Z,300.79119873046875
1984-05-10 00:00:00Z,299.6606140136719
1984-05-11 00:00:00Z,299.4021911621094
1984-05-12 00:00:00Z,302.4664611816406
1984-05-13 00:00:00Z,302.14727783203125
1984-05-14 00:00:00Z,296.6912841796875
1984-05-15 00:00:00Z,292.3410339355469
1984-05-16 00:00:00Z,296.7664489746094
1984-05-17 00:00:00Z,297.6588134765625
1984-05-18 00:00:00Z,300.9405822753906
1984-05-19 00:00:00Z,302.7452697753906
1984-05-20 00:00:00Z,302.3265075683594
1984-05-21 00:00:00Z,300.9251403808594
1984-05-22 00:00:00Z,303.0128479003906
1984-05-23 00:00:00Z,302.7434997558594
1984-05-24 00:00:00Z,300.8547668457031
1984-05-25 00:00:00Z,302.2335205078125
1984-05-26 00:00:00Z,303.4798583984375
1984-05-27 00:00:00Z,306.35205078125
1984-05-28 00:00:00Z,308.7334289550781
1984-05-29 00:00:00Z,308.7033996582031
1984-05-30 00:00:00Z,305.6791076660156
1984-05-31 00:00:00Z,301.4803161621094
1984-06-01 00:00:00Z,302.6771240234375
1984-06-02 00:00:00Z,301.1431884765625
1984-06-03 00:00:00Z,299.7915344238281
1984-06-04 00:00:00Z,295.2609558105469
1984-06-05 00:00:00Z,296.289306640625
1984-06-06 00:00:00Z,292.6694030761719
1984-06-07 00:00:00Z,295.15179443359375
1984-06-08 00:00:00Z,297.3971252441406
1984-06-09 00:00:00Z,298.75604248046875
1984-06-10 00:00:00Z,298.334228515625
1984-06-11 00:00:00Z,299.32684326171875
1984-06-12 00:00:00Z,299.0979309082031
1984-06-13 00:00:00Z,299.9928894042969
1984-06-14 00:00:00Z,299.97607421875
1984-06-15 00:00:00Z,301.6898498535156
1984-06-16 00:00:00Z,303.5354919433594
1984-06-17 00:00:00Z,304.6063537597656
1984-06-18 00:00:00Z,304.00421142578125
1984-06-19 00:00:00Z,302.4647216796875
1984-06-20 00:00:00Z,300.92803955078125
1984-06-21 00:00:00Z,300.8807373046875
1984-06-22 00:00:00Z,303.7914733886719
1984-06-23 00:00:00Z,304.9344177246094
1984-06-24 00:00:00Z,304.2082824707031
1984-06-25 00:00:00Z,305.3922119140625
1984-06-26 00:00:00Z,305.552734375
1984-06-27 00:00:00Z,307.25518798828125
1984-06-28 00:00:00Z,307.5164794921875
1984-06-29 00:00:00Z,303.955322265625
1984-06-30 00:00:00Z,304.728271484375
1984-07-01 00:00:00Z,307.07220458984375
1984-07-02 00:00:00Z,308.1124267578125
1984-07-03 00:00:00Z,308.70672607421875
1984-07-04 00:00:00Z,309.4371337890625
1984-07-05 00:00:00Z,309.1863708496094
1984-07-06 00:00:00Z,308.5449523925781
1984-07-07 00:00:00Z,306.9062194824219
1984-07-08 00:00:00Z,305.9164123535156
1984-07-09 00:00:00Z,305.15679931640625
1984-07-10 00:00:00Z,306.6955261230469
1984-07-11 00:00:00Z,307.30194091796875
1984-07-12 00:00:00Z,307.63720703125
1984-07-13 00:00:00Z,308.2131652832031
1984-07-14 00:00:00Z,308.0792541503906
1984-07-15 00:00:00Z,308.09320068359375
1984-07-16 00:00:00Z,307.6684875488281
1984-07-17 00:00:00Z,307.5406799316406
1984-07-18 00:00:00Z,307.2371520996094
1984-07-19 00:00:00Z,306.25921630859375
1984-07-20 00:00:00Z,305.1495361328125
1984-07-21 00:00:00Z,303.0523986816406
1984-07-22 00:00:00Z,300.0722351074219
1984-07-23 00:00:00Z,301.53643798828125
1984-07-24 00:00:00Z,304.1768798828125
1984-07-25 00:00:00Z,304.0680236816406
1984-07-26 00:00:00Z,306.16693115234375
1984-07-27 00:00:00Z,305.21466064453125
1984-07-28 00:00:00Z,303.5821838378906
1984-07-29 00:00:00Z,304.2284851074219
1984-07-30 00:00:00Z,305.9345397949219
1984-07-31 00:00:00Z,305.86602783203125
1984-08-01 00:00:00Z,304.7315368652344
1984-08-02 00:00:00Z,303.6269226074219
1984-08-03 00:00:00Z,304.4542236328125
1984-08-04 00:00:00Z,305.5417785644531
1984-08-05 00:00:00Z,304.294189453125
1984-08-06 00:00:00Z,305.7925109863281
1984-08-07 00:00:00Z,308.2030029296875
1984-08-08 00:00:00Z,309.6630554199219
1984-08-09 00:00:00Z,308.2648620605469
1984-08-10 00:00:00Z,305.0442810058594
1984-08-11 00:00:00Z,305.0328674316406
1984-08-12 00:00:00Z,304.54595947265625
1984-08-13 00:00:00Z,305.8912658691406
1984-08-14 00:00:00Z,305.3232421875
1984-08-15 00:00:00Z,302.1797790527344
1984-08-16 00:00:00Z,304.1180114746094
