Time,dead_fuel_moisture_1000hr[unit:Percent]_0
2010-05-01 00:00:00Z,16.361818313598633
2010-05-02 00:00:00Z,16.087955474853516
2010-05-03 00:00:00Z,15.711124420166017
2010-05-04 00:00:00Z,15.166407585144043
2010-05-05 00:00:00Z,14.690956115722656
2010-05-06 00:00:00Z,14.421813011169435
2010-05-07 00:00:00Z,14.19040298461914
2010-05-08 00:00:00Z,14.126619338989258
2010-05-09 00:00:00Z,14.223013877868654
2010-05-10 00:00:00Z,14.582246780395508
2010-05-11 00:00:00Z,14.363541603088379
2010-05-12 00:00:00Z,14.106859207153322
2010-05-13 00:00:00Z,13.974319458007814
2010-05-14 00:00:00Z,13.863048553466797
2010-05-15 00:00:00Z,13.767744064331055
2010-05-16 00:00:00Z,13.567979812622072
2010-05-17 00:00:00Z,13.620071411132814
2010-05-18 00:00:00Z,13.48680114746094
2010-05-19 00:00:00Z,13.561182022094728
2010-05-20 00:00:00Z,13.536456108093262
2010-05-21 00:00:00Z,13.64499568939209
2010-05-22 00:00:00Z,13.737134933471681
2010-05-23 00:00:00Z,13.630141258239748
2010-05-24 00:00:00Z,13.243501663208006
2010-05-25 00:00:00Z,13.434062004089355
2010-05-26 00:00:00Z,13.508702278137207
2010-05-27 00:00:00Z,13.981508255004881
2010-05-28 00:00:00Z,14.03028869628906
2010-05-29 00:00:00Z,13.91248321533203
2010-05-30 00:00:00Z,13.683032035827635
2010-05-31 00:00:00Z,13.347768783569336
2010-06-01 00:00:00Z,13.11075496673584
2010-06-02 00:00:00Z,13.102017402648928
2010-06-03 00:00:00Z,13.20313358306885
2010-06-04 00:00:00Z,13.338095664978027
2010-06-05 00:00:00Z,13.398516654968262
2010-06-06 00:00:00Z,13.430996894836424
2010-06-07 00:00:00Z,13.27379322052002
2010-06-08 00:00:00Z,13.052156448364258
2010-06-09 00:00:00Z,12.93538761138916
2010-06-10 00:00:00Z,12.725022315979004
2010-06-11 00:00:00Z,12.553479194641112
2010-06-12 00:00:00Z,12.422697067260742
2010-06-13 00:00:00Z,12.280875205993652
2010-06-14 00:00:00Z,12.077054023742676
2010-06-15 00:00:00Z,11.854422569274902
2010-06-16 00:00:00Z,11.550483703613281
2010-06-17 00:00:00Z,11.258007049560547
2010-06-18 00:00:00Z,11.103381156921387
2010-06-19 00:00:00Z,11.049836158752441
2010-06-20 00:00:00Z,10.977099418640137
2010-06-21 00:00:00Z,10.812098503112793
2010-06-22 00:00:00Z,10.5990571975708
2010-06-23 00:00:00Z,10.359004020690918
2010-06-24 00:00:00Z,10.175764083862305
2010-06-25 00:00:00Z,10.104135513305664
2010-06-26 00:00:00Z,10.066100120544434
2010-06-27 00:00:00Z,9.966135025024414
2010-06-28 00:00:00Z,9.83398723602295
2010-06-29 00:00:00Z,9.720340728759766
2010-06-30 00:00:00Z,9.594779014587402
2010-07-01 00:00:00Z,9.468876838684082
2010-07-02 00:00:00Z,9.389168739318848
2010-07-03 00:00:00Z,9.320343017578125
2010-07-04 00:00:00Z,9.255064964294434
2010-07-05 00:00:00Z,9.168034553527832
2010-07-06 00:00:00Z,9.096753120422363
2010-07-07 00:00:00Z,9.00303840637207
2010-07-08 00:00:00Z,8.924349784851074
