Time,Grid2D Area Average11
1984-04-17 00:00:00 UTC,0.3337072730064392
1984-04-18 00:00:00 UTC,0.3752394914627075
1984-04-19 00:00:00 UTC,0.5755292773246765
1984-04-20 00:00:00 UTC,0.6515054106712341
1984-04-21 00:00:00 UTC,0.6441352367401123
1984-04-22 00:00:00 UTC,0.5037620067596436
1984-04-23 00:00:00 UTC,0.4141544997692108
1984-04-24 00:00:00 UTC,0.43353453278541565
1984-04-25 00:00:00 UTC,0.5906325578689575
1984-04-26 00:00:00 UTC,0.5465586185455322
1984-04-27 00:00:00 UTC,0.541255533695221
1984-04-28 00:00:00 UTC,0.3929990530014038
1984-04-29 00:00:00 UTC,0.4065774083137512
1984-04-30 00:00:00 UTC,0.34508877992630005
1984-05-01 00:00:00 UTC,0.3417452275753021
1984-05-02 00:00:00 UTC,0.40609487891197205
1984-05-03 00:00:00 UTC,0.5218705534934998
1984-05-04 00:00:00 UTC,0.41127750277519226
1984-05-05 00:00:00 UTC,0.3914788067340851
1984-05-06 00:00:00 UTC,0.4136999845504761
1984-05-07 00:00:00 UTC,0.37929752469062805
1984-05-08 00:00:00 UTC,0.3486859202384949
1984-05-09 00:00:00 UTC,0.4513472616672516
1984-05-10 00:00:00 UTC,0.45059046149253845
1984-05-11 00:00:00 UTC,0.40293648838996887
1984-05-12 00:00:00 UTC,0.3179323077201843
1984-05-13 00:00:00 UTC,0.31026944518089294
1984-05-14 00:00:00 UTC,0.45255717635154724
1984-05-15 00:00:00 UTC,0.5594228506088257
1984-05-16 00:00:00 UTC,0.5470584034919739
1984-05-17 00:00:00 UTC,0.34282103180885315
1984-05-18 00:00:00 UTC,0.28071141242980957
1984-05-19 00:00:00 UTC,0.31609123945236206
1984-05-20 00:00:00 UTC,0.3797549307346344
1984-05-21 00:00:00 UTC,0.45318567752838135
1984-05-22 00:00:00 UTC,0.3866879343986511
1984-05-23 00:00:00 UTC,0.46471551060676575
1984-05-24 00:00:00 UTC,0.5901257991790771
1984-05-25 00:00:00 UTC,0.45753681659698486
1984-05-26 00:00:00 UTC,0.5059792995452881
1984-05-27 00:00:00 UTC,0.4671482741832733
1984-05-28 00:00:00 UTC,0.29996562004089355
1984-05-29 00:00:00 UTC,0.32757842540740967
1984-05-30 00:00:00 UTC,0.3044847846031189
1984-05-31 00:00:00 UTC,0.4026489853858948
1984-06-01 00:00:00 UTC,0.37339454889297485
1984-06-02 00:00:00 UTC,0.39731138944625854
1984-06-03 00:00:00 UTC,0.437063068151474
1984-06-04 00:00:00 UTC,0.44875290989875793
1984-06-05 00:00:00 UTC,0.5098612308502197
1984-06-06 00:00:00 UTC,0.5038806200027466
1984-06-07 00:00:00 UTC,0.49537789821624756
1984-06-08 00:00:00 UTC,0.44569891691207886
1984-06-09 00:00:00 UTC,0.4153929352760315
1984-06-10 00:00:00 UTC,0.5557920336723328
1984-06-11 00:00:00 UTC,0.5216121673583984
1984-06-12 00:00:00 UTC,0.3325769007205963
1984-06-13 00:00:00 UTC,0.4377800226211548
1984-06-14 00:00:00 UTC,0.3197595775127411
1984-06-15 00:00:00 UTC,0.22504352033138275
1984-06-16 00:00:00 UTC,0.2833542227745056
1984-06-17 00:00:00 UTC,0.30165961384773254
1984-06-18 00:00:00 UTC,0.3827589452266693
1984-06-19 00:00:00 UTC,0.30164825916290283
1984-06-20 00:00:00 UTC,0.3012286126613617
1984-06-21 00:00:00 UTC,0.36806249618530273
1984-06-22 00:00:00 UTC,0.30326005816459656
1984-06-23 00:00:00 UTC,0.31185752153396606
