Time,air_temperature[unit:K]
1984-04-21 00:00:00 UTC,236.78831481933594
1984-04-22 00:00:00 UTC,236.69598388671875
1984-04-23 00:00:00 UTC,237.06793212890625
1984-04-24 00:00:00 UTC,237.36172485351562
1984-04-25 00:00:00 UTC,237.32911682128906
1984-04-26 00:00:00 UTC,236.87892150878906
1984-04-27 00:00:00 UTC,236.5408477783203
1984-04-28 00:00:00 UTC,236.5919189453125
1984-04-29 00:00:00 UTC,236.77720642089844
1984-04-30 00:00:00 UTC,236.6643829345703
1984-05-01 00:00:00 UTC,237.1109619140625
1984-05-02 00:00:00 UTC,237.48046875
1984-05-03 00:00:00 UTC,237.23629760742188
1984-05-04 00:00:00 UTC,237.39212036132812
1984-05-05 00:00:00 UTC,237.4624481201172
1984-05-06 00:00:00 UTC,237.47007751464844
1984-05-07 00:00:00 UTC,237.1376953125
1984-05-08 00:00:00 UTC,237.05677795410156
1984-05-09 00:00:00 UTC,237.46290588378906
1984-05-10 00:00:00 UTC,237.83729553222656
1984-05-11 00:00:00 UTC,238.0019989013672
1984-05-12 00:00:00 UTC,238.0354766845703
1984-05-13 00:00:00 UTC,238.23069763183594
1984-05-14 00:00:00 UTC,237.96725463867188
1984-05-15 00:00:00 UTC,237.95260620117188
1984-05-16 00:00:00 UTC,237.90660095214844
1984-05-17 00:00:00 UTC,237.7657928466797
1984-05-18 00:00:00 UTC,237.82264709472656
1984-05-19 00:00:00 UTC,237.80337524414062
1984-05-20 00:00:00 UTC,237.87535095214844
1984-05-21 00:00:00 UTC,238.17788696289062
1984-05-22 00:00:00 UTC,238.04811096191406
1984-05-23 00:00:00 UTC,237.8594512939453
1984-05-24 00:00:00 UTC,238.36041259765625
1984-05-25 00:00:00 UTC,237.88687133789062
1984-05-26 00:00:00 UTC,237.64027404785156
1984-05-27 00:00:00 UTC,237.90237426757812
1984-05-28 00:00:00 UTC,237.39566040039062
1984-05-29 00:00:00 UTC,237.5994110107422
1984-05-30 00:00:00 UTC,237.995849609375
1984-05-31 00:00:00 UTC,238.189208984375
1984-06-01 00:00:00 UTC,238.10728454589844
1984-06-02 00:00:00 UTC,237.61163330078125
1984-06-03 00:00:00 UTC,237.78768920898438
1984-06-04 00:00:00 UTC,237.81021118164062
1984-06-05 00:00:00 UTC,237.92755126953125
1984-06-06 00:00:00 UTC,237.49859619140625
1984-06-07 00:00:00 UTC,237.75735473632812
1984-06-08 00:00:00 UTC,237.59632873535156
1984-06-09 00:00:00 UTC,237.5584716796875
1984-06-10 00:00:00 UTC,237.4904327392578
1984-06-11 00:00:00 UTC,237.78736877441406
1984-06-12 00:00:00 UTC,238.05316162109375
1984-06-13 00:00:00 UTC,238.1131591796875
1984-06-14 00:00:00 UTC,238.1493682861328
1984-06-15 00:00:00 UTC,238.28390502929688
1984-06-16 00:00:00 UTC,238.3008575439453
1984-06-17 00:00:00 UTC,238.02249145507812
1984-06-18 00:00:00 UTC,238.00003051757812
1984-06-19 00:00:00 UTC,238.05479431152344
1984-06-20 00:00:00 UTC,238.1938934326172
1984-06-21 00:00:00 UTC,238.2751922607422
1984-06-22 00:00:00 UTC,238.2487335205078
1984-06-23 00:00:00 UTC,238.25030517578125
1984-06-24 00:00:00 UTC,238.05569458007812
1984-06-25 00:00:00 UTC,238.31015014648438
1984-06-26 00:00:00 UTC,238.2529754638672
1984-06-27 00:00:00 UTC,238.3524169921875
1984-06-28 00:00:00 UTC,238.3193359375
1984-06-29 00:00:00 UTC,238.33453369140625
1984-06-30 00:00:00 UTC,238.38414001464844
1984-07-01 00:00:00 UTC,238.31979370117188
1984-07-02 00:00:00 UTC,238.28160095214844
1984-07-03 00:00:00 UTC,238.47183227539062
1984-07-04 00:00:00 UTC,238.3392333984375
1984-07-05 00:00:00 UTC,238.2729949951172
