"fire[idx_summer]","pct95_wind[idx_summer]","mean_ws[idx_summer]","max_ws[idx_summer]","pct95_vpd[idx_summer]","mean_vpd[idx_summer]","max_vpd[idx_summer]","pct95_fm100[idx_summer]","mean_fm100[idx_summer]","max_fm100[idx_summer]","pct95_fm1000[idx_summer]","mean_fm1000[idx_summer]","max_fm1000[idx_summer]","pct95_pdsi[idx_summer]","mean_pdsi[idx_summer]","max_pdsi[idx_summer]","pct95_pet[idx_summer]","mean_pet[idx_summer]","max_pet[idx_summer]","pct95_spei90[idx_summer]","mean_spei90[idx_summer]","max_spei90[idx_summer]","pct95_sph[idx_summer]","mean_sph[idx_summer]","max_sph[idx_summer]","pct95_spi90[idx_summer]","mean_spi90[idx_summer]","max_spi90[idx_summer]","pct95_tmmn[idx_summer]","mean_tmmn[idx_summer]","max_tmmn[idx_summer]","pct95_tmmx[idx_summer]","mean_tmmx[idx_summer]","max_tmmx[idx_summer]"
0,5.49999952316284,3.73150318861008,6.700000166893,1.80999990552664,1.04720545932651,2.03000009059906,13.9999997615814,10.7831454277039,15.7000005245209,15.0999999046326,12.8046655654907,18.7000000476837,NA,NA,NA,6.60000026226044,5.12588441371918,7.30000019073486,NA,NA,NA,0.00827999997454754,0.0065264458726233,0.00873999965733674,NA,NA,NA,2387.85003662109,2381.07284545898,2389.70001220703,2502.40005493164,2495.23010253906,2504.70001220703
0,5.10000050067902,3.97101938724518,5.90000033378601,1.01999994367361,0.721215549856424,1.22000006958842,13.9999997615814,11.7302393913269,16.4999997615814,15,12.8737616539001,18.7999999523163,NA,NA,NA,5.60000002384186,4.63051527738571,6.00000023841858,NA,NA,NA,0.00926999987882482,0.00650736566853993,0.00989999975331557,NA,NA,NA,2382.10006713867,2376.11633300781,2383.50006103516,2498.50006103516,2493.54965209961,2500
0,6.00000023841858,4.36648041009903,7.00000047683716,1.38999987393618,1.02144833654165,1.55999986454844,14.7000002861023,12.1957576274872,16.0000002384186,15.0999999046326,13.0850613117218,18.7999999523163,5.26999998092651,1.96675610542297,7.94000005722046,6.39999985694885,5.46432077884674,7.2000002861023,127.999997138977,58.9075803756714,145.000004768372,0.00839999998447638,0.00617623285847913,0.00913999969043289,100.999999046326,23.460653424263,169.000005722046,2381.79992675781,2377.87689208984,2383.50006103516,2502.10006713867,2495.98693847656,2504.19998168945
0,7.09999978542328,4.48290079832077,8.89999985694885,1.54999988153577,0.960025191307068,1.81000027805567,14.8000001907349,12.2185969352722,17.9999995231628,15.3999996185303,13.1794190406799,18.9999997615814,NA,NA,NA,6.60000026226044,5.19097805023193,7.09999978542328,NA,NA,NA,0.0073599998984264,0.00561929986986343,0.00778000028844872,NA,NA,NA,2383.30001831055,2378.10211181641,2384.90005493164,2501.69998168945,2493.93905639648,2504.29992675781
0,7.7999997138977,5.07895648479462,9.39999997615814,1.71000007539988,0.916892290115356,2.07000002264977,16.599999666214,11.9320940971375,19.5000004768372,16.3999998569489,13.3305549621582,20.0999999046326,NA,NA,NA,7.30000019073486,4.45453882217407,8.19999992847443,NA,NA,NA,0.00727999989180717,0.00582826125139491,0.00777000010998563,NA,NA,NA,2384.49996948242,2379.27551269531,2386.00006103516,2501.39999389648,2493.01971435547,2504.49996948242
0,7.70000040531158,5.03134787082672,10,1.46000003442168,0.781195424497128,1.7400000244379,18.9999997615814,12.0256125926971,21.3000011444092,17.5,13.4771871566772,21.4000010490417,NA,NA,NA,6.49999976158142,4.47852283716202,7.2000002861023,NA,NA,NA,0.0061000001494449,0.0054489554202064,0.00665000001731642,NA,NA,NA,2381.90002441406,2374.98596191406,2383.69995117188,2499.60006713867,2491.81640625,2502.10006713867
0,8.30000042915344,4.93554472923279,11.6999995708466,1.7500001937151,0.836254842579365,2.10999995470047,21.0999989509583,12.7230334281921,22.9999995231628,18.5000002384186,13.6100316047668,22.3000001907349,NA,NA,NA,7.40000009536743,4.39045608043671,8.299999833107,NA,NA,NA,0.00631999981237641,0.00551278951377299,0.00665000001731642,NA,NA,NA,2384.19998168945,2377.57354736328,2385.59997558594,2501.30004882812,2491.38244628906,2504.49996948242
0,6.30000054836273,4.45164322853088,8.10000002384186,1.79999973624945,1.00901965051889,2.02000010758638,20.7999992370605,12.1200561523438,23.199999332428,18.8999998569489,13.3841693401337,22.7999997138977,5.3899998664856,1.83725297451019,8.22000026702881,6.99999988079071,5.3093683719635,7.7999997138977,145.000004768372,64.078813791275,208.999991416931,0.00564999993457604,0.00442866081584725,0.00634000016930258,145.000004768372,30.0525516271591,208.999991416931,2383.69995117188,2375.96328735352,2386.69998168945,2501.19995117188,2493.03131103516,2503.99993896484
0,5.69999992847443,4.15722846984863,7.09999978542328,1.44000006839633,0.785533804446459,1.68000012636185,18.9999997615814,11.9493579864502,21.9000005722046,18.9999997615814,13.2602477073669,23.0999994277954,NA,NA,NA,6.10000014305115,4.67570722103119,6.700000166893,NA,NA,NA,0.00596999996105296,0.00405840090422771,0.00671999984547256,NA,NA,NA,2383.09997558594,2375.58471679688,2385.39993286133,2497.89993286133,2489.46060180664,2500.59997558594
0,7.09999978542328,5.5557382106781,8.50000023841858,1.26000000163913,0.870554056018591,1.47000001743436,16.3999998569489,10.9827828407288,19.099999666214,18.8999998569489,13.1048810482025,22.7999997138977,NA,NA,NA,6.700000166893,5.2883243560791,7.40000009536743,NA,NA,NA,0.00851999999440523,0.00551881704780044,0.00960000008376483,NA,NA,NA,2379.79995727539,2374.90432739258,2382.10006713867,2501.49993896484,2493.92715454102,2503.69995117188
0,7.30000019073486,5.20513832569122,9.7000002861023,1.78999993950129,1.11335283145308,2.08000019192696,15.2999997138977,11.6701781749725,18.400000333786,18.7000000476837,13.2910227775574,22.6999998092651,NA,NA,NA,7.7999997138977,5.89266836643219,8.99999976158142,NA,NA,NA,0.00985000028208561,0.00638493418136932,0.0120199999287252,NA,NA,NA,2384.90005493164,2377.87368774414,2386.60003662109,2505.50003051758,2497.12554931641,2508.39996337891
0,4.80000019073486,3.32093805074692,6.30000054836273,2.0899998024106,1.20537402108312,2.29000002145767,15.0999999046326,11.2959134578705,16.6999995708466,18.2000005245209,13.3569526672363,22.3000001907349,NA,NA,NA,6.99999988079071,5.58216154575348,8.50000023841858,NA,NA,NA,0.0104100003284202,0.00660469368085614,0.0112000002161494,NA,NA,NA,2387.20001220703,2380.53161621094,2388.80004882812,2505.89996337891,2497.51937866211,2508.69995117188
