"fire[idx_spring]","pct95_wind[idx_spring]","mean_ws[idx_spring]","max_ws[idx_spring]","pct95_vpd[idx_spring]","mean_vpd[idx_spring]","max_vpd[idx_spring]","pct95_fm100[idx_spring]","mean_fm100[idx_spring]","max_fm100[idx_spring]","pct95_fm1000[idx_spring]","mean_fm1000[idx_spring]","max_fm1000[idx_spring]","pct95_pdsi[idx_spring]","mean_pdsi[idx_spring]","max_pdsi[idx_spring]","pct95_pet[idx_spring]","mean_pet[idx_spring]","max_pet[idx_spring]","pct95_spei90[idx_spring]","mean_spei90[idx_spring]","max_spei90[idx_spring]","pct95_sph[idx_spring]","mean_sph[idx_spring]","max_sph[idx_spring]","pct95_spi90[idx_spring]","mean_spi90[idx_spring]","max_spi90[idx_spring]","pct95_tmmn[idx_spring]","mean_tmmn[idx_spring]","max_tmmn[idx_spring]","pct95_tmmx[idx_spring]","mean_tmmx[idx_spring]","max_tmmx[idx_spring]"
0,7.09999978542328,3.66944789886475,10.8000004291534,0.779999978840351,0.434960424900055,0.930000003427267,18.7999999523163,15.4002618789673,19.6000003814697,20.9999990463257,17.6347219944,25.3999996185303,NA,NA,NA,3.10000002384186,1.99377566576004,3.70000004768372,NA,NA,NA,0.00321000008796091,0.00237227375521343,0.00359999994259397,NA,NA,NA,2370.59997558594,2366.92169189453,2372.5,2488.69995117188,2480.73425292969,2490
0,6.19999945163727,3.28154295682907,9.00000035762787,0.720000034198165,0.398977287113667,0.810000021010637,18.7000000476837,14.6067559719086,19.6000003814697,20.699999332428,17.5003778934479,24.7000002861023,NA,NA,NA,2.70000010728836,2.0004491508007,3.30000013113022,NA,NA,NA,0.00365000012436667,0.00263820183477037,0.00393000014753397,NA,NA,NA,2372.20001220703,2367.50228881836,2373.60000610352,2487.40005493164,2481.0009765625,2488.80004882812
0,5.90000033378601,4.39414173364639,7.90000021457672,0.620000017806888,0.305707659572363,0.720000034198165,18.8999998569489,15.8141016960144,20.1999998092651,20.7999992370605,17.4039959907532,24.9000000953674,NA,NA,NA,2.80000001192093,1.69750019907951,3.49999994039536,NA,NA,NA,0.00329000009458014,0.00278721383750735,0.0034700001094734,NA,NA,NA,2371.74987792969,2365.71228027344,2372.59994506836,2486.79992675781,2478.81408691406,2488.39996337891
0,6.39999985694885,4.81024652719498,7.2000002861023,0.289999996311963,0.167437642812729,0.370000000111759,19.1999995708466,16.6450703144073,22.0000004768372,20.7999992370605,17.4497509002686,24.7000002861023,NA,NA,NA,1.80000007152557,1.25342011451721,2.19999998807907,NA,NA,NA,0.00288000006065658,0.00201132159816098,0.00329000009458014,NA,NA,NA,2367.20001220703,2361.47186279297,2369.40002441406,2478.20007324219,2472.74429321289,2479.90005493164
0,5.90000033378601,3.49281013011932,9.30000007152557,0.329999998211861,0.186085887253284,0.380000006407499,19.2999994754791,16.4395594596863,21.6000008583069,20.699999332428,17.3735630512238,24.4000005722046,5.01999998092651,1.78793561458588,6.26999998092651,1.70000001788139,1.2583900988102,1.89999997615814,145.000004768372,76.7721235752106,208.999991416931,0.00208999999529169,0.00151465204822898,0.00234000001597678,112.999999523163,40.3258204460144,208.999991416931,2365.29998779297,2359.19769287109,2366.49993896484,2476.00006103516,2471.79306030273,2477.5
0,7.40000009536743,4.20897513628006,10.5999994277954,0.370000000111759,0.205838400870562,0.44999998062849,19.2999994754791,16.5763759613037,21.1999988555908,20.5999994277954,17.367650270462,24.300000667572,NA,NA,NA,1.89999997615814,1.26296475529671,2.19999998807907,NA,NA,NA,0.00230000001266717,0.00185585875556171,0.00253000003169745,NA,NA,NA,2365.50003051758,2360.25863647461,2366.39999389648,2479.10003662109,2473.77471923828,2480.70007324219
0,9.60000038146973,5.01990437507629,13.7999999523163,0.529999937862158,0.308719091117382,0.620000017806888,19.1999995708466,16.5202593803406,20.699999332428,20.5999994277954,17.347058057785,24.6000003814697,NA,NA,NA,2.59999990463257,1.9436226785183,3.30000013113022,NA,NA,NA,0.00256000003417967,0.00217115658784905,0.00275000004990034,NA,NA,NA,2366.90002441406,2361.72882080078,2368.39996337891,2484.19998168945,2478.58520507812,2485.89996337891
0,6.50000035762787,3.22145581245422,10.200001001358,0.570000009611249,0.367066892795265,0.650000059977174,19.099999666214,15.7583343982697,20.3999996185303,20.699999332428,17.3542034626007,24.7000002861023,NA,NA,NA,2.59999990463257,1.99923738837242,3.40000003576279,NA,NA,NA,0.00274000004907293,0.00239718538352918,0.00294000006562101,NA,NA,NA,2366.90002441406,2363.25866699219,2369.10003662109,2485.70007324219,2480.76568603516,2486.90002441406
0,6.80000007152557,4.36076551675797,8.79999995231628,0.749999983236194,0.384154357016087,0.8500000461936,18.8999998569489,14.6278095245361,20.0999999046326,20.5999994277954,17.1529650688171,24.4000005722046,NA,NA,NA,3.49999994039536,1.94570139050484,4.00000005960464,NA,NA,NA,0.00299000006975803,0.00269111701811653,0.00329999991777186,NA,NA,NA,2370.29998779297,2366.0270690918,2371.69998168945,2488.60000610352,2480.45425415039,2490.20004272461
0,4.80000019073486,2.96852707862854,7.7999997138977,0.519999954849482,0.325179495848715,0.610000034794211,19.099999666214,15.7041001319885,21.3000011444092,20.4999995231628,17.0921349525452,24.300000667572,4.90999984741211,1.78596138954163,6.19000005722046,2.39999994635582,1.92554920911789,2.70000010728836,169.000005722046,81.9879174232483,208.999991416931,0.00307999989956898,0.00270407749525248,0.00339999992604589,112.999999523163,32.8245133161545,208.999991416931,2366.90002441406,2364.53735351562,2370.39993286133,2485.59997558594,2480.46997070312,2486.90002441406
