Time,Grid2D Area Average
1984-04-15 00:00:00 UTC,0.00515393540263176
1984-04-16 00:00:00 UTC,0.0077939266338944435
1984-04-17 00:00:00 UTC,0.009680727496743202
1984-04-18 00:00:00 UTC,0.0077250562608242035
1984-04-19 00:00:00 UTC,0.00517241470515728
1984-04-20 00:00:00 UTC,0.002675119088962674
1984-04-21 00:00:00 UTC,0.0022670049220323563
1984-04-22 00:00:00 UTC,0.0037858968134969473
1984-04-23 00:00:00 UTC,0.006481541320681572
1984-04-24 00:00:00 UTC,0.00733572244644165
1984-04-25 00:00:00 UTC,0.0071552824229002
1984-04-26 00:00:00 UTC,0.004921530373394489
1984-04-27 00:00:00 UTC,0.0036915303207933903
1984-04-28 00:00:00 UTC,0.0032947228755801916
1984-04-29 00:00:00 UTC,0.0025897084269672632
1984-04-30 00:00:00 UTC,0.0036903948057442904
1984-05-01 00:00:00 UTC,0.0050842491909861565
1984-05-02 00:00:00 UTC,0.006076332647353411
1984-05-03 00:00:00 UTC,0.006848521996289492
1984-05-04 00:00:00 UTC,0.0065366956405341625
1984-05-05 00:00:00 UTC,0.0064541492611169815
1984-05-06 00:00:00 UTC,0.0057420888915658
1984-05-07 00:00:00 UTC,0.004778726026415825
1984-05-08 00:00:00 UTC,0.008390343748033047
1984-05-09 00:00:00 UTC,0.013219902291893959
1984-05-10 00:00:00 UTC,0.014929828234016895
1984-05-11 00:00:00 UTC,0.013244161382317543
1984-05-12 00:00:00 UTC,0.01421398390084505
1984-05-13 00:00:00 UTC,0.014170391485095024
1984-05-14 00:00:00 UTC,0.011782210320234299
1984-05-15 00:00:00 UTC,0.0119126932695508
1984-05-16 00:00:00 UTC,0.009584050625562668
1984-05-17 00:00:00 UTC,0.009605329483747482
1984-05-18 00:00:00 UTC,0.010622609406709671
1984-05-19 00:00:00 UTC,0.009418063797056675
1984-05-20 00:00:00 UTC,0.012946609407663345
1984-05-21 00:00:00 UTC,0.015553307719528675
1984-05-22 00:00:00 UTC,0.010256880894303322
1984-05-23 00:00:00 UTC,0.01335790567100048
1984-05-24 00:00:00 UTC,0.018766606226563454
1984-05-25 00:00:00 UTC,0.009462636895477772
1984-05-26 00:00:00 UTC,0.009446507319808006
1984-05-27 00:00:00 UTC,0.012768157757818699
1984-05-28 00:00:00 UTC,0.00852073822170496
1984-05-29 00:00:00 UTC,0.012050151824951172
1984-05-30 00:00:00 UTC,0.01703936979174614
1984-05-31 00:00:00 UTC,0.015056434087455273
1984-06-01 00:00:00 UTC,0.01049888040870428
1984-06-02 00:00:00 UTC,0.007224372122436762
1984-06-03 00:00:00 UTC,0.010215026326477528
1984-06-04 00:00:00 UTC,0.0096216956153512
1984-06-05 00:00:00 UTC,0.009183219633996487
1984-06-06 00:00:00 UTC,0.007824268192052841
1984-06-07 00:00:00 UTC,0.008388572372496128
1984-06-08 00:00:00 UTC,0.010115474462509155
1984-06-09 00:00:00 UTC,0.007879138924181461
1984-06-10 00:00:00 UTC,0.008727951906621456
1984-06-11 00:00:00 UTC,0.011160550639033318
1984-06-12 00:00:00 UTC,0.012093454599380493
1984-06-13 00:00:00 UTC,0.011516912840306759
