Time,specific_humidity[unit:kg/kg]
1984-04-07 00:00:00 UTC,3.74392641333543E-8
1984-04-08 00:00:00 UTC,3.674630377759058E-8
1984-04-09 00:00:00 UTC,3.8211720010394856E-8
1984-04-10 00:00:00 UTC,4.1837569852987144E-8
1984-04-11 00:00:00 UTC,3.0844287124409675E-8
1984-04-12 00:00:00 UTC,2.2085623996304093E-8
1984-04-13 00:00:00 UTC,2.473507798583796E-8
1984-04-14 00:00:00 UTC,2.1855276699511705E-8
1984-04-15 00:00:00 UTC,2.5513113399711074E-8
1984-04-16 00:00:00 UTC,2.5220360910793715E-8
1984-04-17 00:00:00 UTC,2.984343794310007E-8
1984-04-18 00:00:00 UTC,3.986373187103709E-8
1984-04-19 00:00:00 UTC,4.377678664013729E-8
1984-04-20 00:00:00 UTC,3.970181339241208E-8
1984-04-21 00:00:00 UTC,3.172188911548801E-8
1984-04-22 00:00:00 UTC,3.1035504832743754E-8
1984-04-23 00:00:00 UTC,3.368810652659704E-8
1984-04-24 00:00:00 UTC,4.01656841120257E-8
1984-04-25 00:00:00 UTC,3.6701720773635316E-8
1984-04-26 00:00:00 UTC,1.9865570521915288E-8
1984-04-27 00:00:00 UTC,1.922308001667261E-8
1984-04-28 00:00:00 UTC,2.8291720965967215E-8
1984-04-29 00:00:00 UTC,3.333223119739159E-8
1984-04-30 00:00:00 UTC,3.4316762764774467E-8
1984-05-01 00:00:00 UTC,4.324833469127043E-8
1984-05-02 00:00:00 UTC,4.167658573805966E-8
1984-05-03 00:00:00 UTC,3.673683934835026E-8
1984-05-04 00:00:00 UTC,4.016630583691949E-8
1984-05-05 00:00:00 UTC,4.4260282550112606E-8
1984-05-06 00:00:00 UTC,3.6525818813970545E-8
1984-05-07 00:00:00 UTC,2.9051602012941657E-8
1984-05-08 00:00:00 UTC,2.7677387492985872E-8
1984-05-09 00:00:00 UTC,3.20400168618562E-8
1984-05-10 00:00:00 UTC,3.577823903810895E-8
1984-05-11 00:00:00 UTC,5.042402406729707E-8
1984-05-12 00:00:00 UTC,5.566633376474783E-8
1984-05-13 00:00:00 UTC,5.845910422408451E-8
1984-05-14 00:00:00 UTC,6.536011909474837E-8
1984-05-15 00:00:00 UTC,5.4691710715815134E-8
1984-05-16 00:00:00 UTC,6.153362619443214E-8
1984-05-17 00:00:00 UTC,5.458071683506205E-8
1984-05-18 00:00:00 UTC,5.572854178126363E-8
1984-05-19 00:00:00 UTC,5.517636125773606E-8
1984-05-20 00:00:00 UTC,5.6472298837206836E-8
1984-05-21 00:00:00 UTC,5.71255505121826E-8
1984-05-22 00:00:00 UTC,6.068734137443244E-8
1984-05-23 00:00:00 UTC,6.655670858890517E-8
1984-05-24 00:00:00 UTC,5.245604484116484E-8
1984-05-25 00:00:00 UTC,5.477806652720574E-8
1984-05-26 00:00:00 UTC,5.866172259061386E-8
1984-05-27 00:00:00 UTC,4.516653362429679E-8
1984-05-28 00:00:00 UTC,4.49581740724625E-8
1984-05-29 00:00:00 UTC,4.926750563072346E-8
1984-05-30 00:00:00 UTC,4.8637719629596177E-8
1984-05-31 00:00:00 UTC,5.387282797642001E-8
1984-06-01 00:00:00 UTC,6.526445872623299E-8
1984-06-02 00:00:00 UTC,6.507365668539933E-8
1984-06-03 00:00:00 UTC,6.176232858479125E-8
1984-06-04 00:00:00 UTC,5.6192998698634256E-8
1984-06-05 00:00:00 UTC,5.828261251394906E-8
1984-06-06 00:00:00 UTC,5.448955420206403E-8
1984-06-07 00:00:00 UTC,5.5127895137729865E-8
1984-06-08 00:00:00 UTC,4.428660815847252E-8
1984-06-09 00:00:00 UTC,4.05840090422771E-8
1984-06-10 00:00:00 UTC,5.5188170478004395E-8
1984-06-11 00:00:00 UTC,6.384934181369317E-8
1984-06-12 00:00:00 UTC,6.604693680856144E-8
1984-06-13 00:00:00 UTC,8.488382263749372E-8
1984-06-14 00:00:00 UTC,7.870695384326609E-8
1984-06-15 00:00:00 UTC,8.2779983756609E-8
1984-06-16 00:00:00 UTC,7.412857172539589E-8
1984-06-17 00:00:00 UTC,6.106582617348977E-8
1984-06-18 00:00:00 UTC,7.197511564527304E-8
1984-06-19 00:00:00 UTC,7.148843650384151E-8
1984-06-20 00:00:00 UTC,7.342643471019983E-8
1984-06-21 00:00:00 UTC,6.72285338509937E-8
1984-06-22 00:00:00 UTC,5.13919218292358E-8
1984-06-23 00:00:00 UTC,7.576995386671115E-8
1984-06-24 00:00:00 UTC,6.939659158433642E-8
1984-06-25 00:00:00 UTC,6.415259434788823E-8
