Time,potential_evapotranspiration[unit:mm]
1984-04-16 00:00:00 UTC,0.3668074607849121
1984-04-17 00:00:00 UTC,0.43896231055259705
1984-04-18 00:00:00 UTC,0.3643472194671631
1984-04-19 00:00:00 UTC,0.321842759847641
1984-04-20 00:00:00 UTC,0.21252553164958954
1984-04-21 00:00:00 UTC,0.18935273587703705
1984-04-22 00:00:00 UTC,0.29097315669059753
1984-04-23 00:00:00 UTC,0.38942480087280273
1984-04-24 00:00:00 UTC,0.40227505564689636
1984-04-25 00:00:00 UTC,0.42580029368400574
1984-04-26 00:00:00 UTC,0.3100423812866211
1984-04-27 00:00:00 UTC,0.26660194993019104
1984-04-28 00:00:00 UTC,0.2239820957183838
1984-04-29 00:00:00 UTC,0.2430327981710434
1984-04-30 00:00:00 UTC,0.25359776616096497
1984-05-01 00:00:00 UTC,0.3189481496810913
1984-05-02 00:00:00 UTC,0.34347259998321533
1984-05-03 00:00:00 UTC,0.42401018738746643
1984-05-04 00:00:00 UTC,0.37369802594184875
1984-05-05 00:00:00 UTC,0.38629502058029175
1984-05-06 00:00:00 UTC,0.34495067596435547
1984-05-07 00:00:00 UTC,0.31708386540412903
1984-05-08 00:00:00 UTC,0.45498737692832947
1984-05-09 00:00:00 UTC,0.6037139296531677
1984-05-10 00:00:00 UTC,0.6049253940582275
1984-05-11 00:00:00 UTC,0.5553660988807678
1984-05-12 00:00:00 UTC,0.561660647392273
1984-05-13 00:00:00 UTC,0.5764876008033752
1984-05-14 00:00:00 UTC,0.5788381695747375
1984-05-15 00:00:00 UTC,0.6294978260993958
1984-05-16 00:00:00 UTC,0.5286108255386353
1984-05-17 00:00:00 UTC,0.5019023418426514
1984-05-18 00:00:00 UTC,0.49529191851615906
1984-05-19 00:00:00 UTC,0.5001766085624695
1984-05-20 00:00:00 UTC,0.5836873054504395
1984-05-21 00:00:00 UTC,0.639094889163971
1984-05-22 00:00:00 UTC,0.4923126995563507
1984-05-23 00:00:00 UTC,0.6383053660392761
1984-05-24 00:00:00 UTC,0.7682878971099854
