Time,specific_humidity[unit:kg/kg]
1984-04-07 00:00:00 UTC,5.0899998882414366E-8
1984-04-08 00:00:00 UTC,4.3699998286683694E-8
1984-04-09 00:00:00 UTC,5.349999909753933E-8
1984-04-10 00:00:00 UTC,5.52000010145548E-8
1984-04-11 00:00:00 UTC,3.799999959142042E-8
1984-04-12 00:00:00 UTC,2.5400000325248584E-8
1984-04-13 00:00:00 UTC,2.76000005072774E-8
1984-04-14 00:00:00 UTC,2.5400000325248584E-8
1984-04-15 00:00:00 UTC,3.0500000747224476E-8
1984-04-16 00:00:00 UTC,3.03999989625936E-8
1984-04-17 00:00:00 UTC,3.690000127676285E-8
1984-04-18 00:00:00 UTC,4.969999878312592E-8
1984-04-19 00:00:00 UTC,5.480000098145865E-8
1984-04-20 00:00:00 UTC,5.240000078288176E-8
1984-04-21 00:00:00 UTC,3.830000139259937E-8
1984-04-22 00:00:00 UTC,3.57999994093916E-8
1984-04-23 00:00:00 UTC,3.899999967416079E-8
1984-04-24 00:00:00 UTC,4.6800000319535684E-8
1984-04-25 00:00:00 UTC,5.149999893205859E-8
1984-04-26 00:00:00 UTC,3.4399999293555084E-8
1984-04-27 00:00:00 UTC,2.380000019286399E-8
1984-04-28 00:00:00 UTC,3.3999999260458935E-8
1984-04-29 00:00:00 UTC,4.139999987273768E-8
1984-04-30 00:00:00 UTC,4.19999999223819E-8
1984-05-01 00:00:00 UTC,5.800000124622784E-8
1984-05-02 00:00:00 UTC,5.840000127932399E-8
1984-05-03 00:00:00 UTC,4.734999947686447E-8
1984-05-04 00:00:00 UTC,5.929999957743348E-8
1984-05-05 00:00:00 UTC,6.570000010697186E-8
1984-05-06 00:00:00 UTC,6.780000205708347E-8
1984-05-07 00:00:00 UTC,4.5000000170603016E-8
1984-05-08 00:00:00 UTC,3.419999927700701E-8
1984-05-09 00:00:00 UTC,4.1900001690464705E-8
1984-05-10 00:00:00 UTC,4.6400000286439536E-8
1984-05-11 00:00:00 UTC,7.15999988187832E-8
1984-05-12 00:00:00 UTC,7.85000011660486E-8
1984-05-13 00:00:00 UTC,9.25000023244138E-8
1984-05-14 00:00:00 UTC,8.880000024191759E-8
1984-05-15 00:00:00 UTC,7.359999898426395E-8
1984-05-16 00:00:00 UTC,7.860000295067948E-8
1984-05-17 00:00:00 UTC,8.055000222384479E-8
1984-05-18 00:00:00 UTC,8.300000331473711E-8
1984-05-19 00:00:00 UTC,7.274999802575621E-8
1984-05-20 00:00:00 UTC,7.194999795956392E-8
1984-05-21 00:00:00 UTC,7.94999976960753E-8
1984-05-22 00:00:00 UTC,8.330000156320239E-8
1984-05-23 00:00:00 UTC,9.920000110241745E-8
1984-05-24 00:00:00 UTC,8.09000013646255E-8
1984-05-25 00:00:00 UTC,7.709999749749841E-8
1984-05-26 00:00:00 UTC,7.799999934832158E-8
1984-05-27 00:00:00 UTC,6.655000106547959E-8
1984-05-28 00:00:00 UTC,5.5400001031102875E-8
1984-05-29 00:00:00 UTC,6.009999964362578E-8
1984-05-30 00:00:00 UTC,6.519999828924483E-8
1984-05-31 00:00:00 UTC,6.420000175921814E-8
1984-06-01 00:00:00 UTC,8.279999974547536E-8
1984-06-02 00:00:00 UTC,9.26999987882482E-8
1984-06-03 00:00:00 UTC,8.39999998447638E-8
1984-06-04 00:00:00 UTC,7.359999898426395E-8
1984-06-05 00:00:00 UTC,7.279999891807165E-8
1984-06-06 00:00:00 UTC,6.100000149444895E-8
1984-06-07 00:00:00 UTC,6.319999812376409E-8
1984-06-08 00:00:00 UTC,5.649999934576044E-8
1984-06-09 00:00:00 UTC,5.969999961052963E-8
1984-06-10 00:00:00 UTC,8.519999994405225E-8
1984-06-11 00:00:00 UTC,9.850000282085603E-8
1984-06-12 00:00:00 UTC,1.041000032842021E-7
1984-06-13 00:00:00 UTC,1.1680000255864798E-7
1984-06-14 00:00:00 UTC,1.0370000325110595E-7
1984-06-15 00:00:00 UTC,1.0920000192982116E-7
1984-06-16 00:00:00 UTC,1.0229999958255576E-7
1984-06-17 00:00:00 UTC,8.519999994405225E-8
1984-06-18 00:00:00 UTC,9.730000272156758E-8
1984-06-19 00:00:00 UTC,1.0069999945017116E-7
1984-06-20 00:00:00 UTC,1.0250000315181751E-7
1984-06-21 00:00:00 UTC,9.72000009369367E-8
1984-06-22 00:00:00 UTC,8.829999842419056E-8
1984-06-23 00:00:00 UTC,1.0699999819507866E-7
1984-06-24 00:00:00 UTC,1.0480000156576352E-7
1984-06-25 00:00:00 UTC,8.850000199345232E-8
1984-06-26 00:00:00 UTC,9.019999680504043E-8
1984-06-27 00:00:00 UTC,8.669999829180597E-8
1984-06-28 00:00:00 UTC,8.519999994405225E-8
1984-06-29 00:00:00 UTC,9.850000282085603E-8
1984-06-30 00:00:00 UTC,1.0424999885572106E-7
1984-07-01 00:00:00 UTC,1.2099999935344385E-7
1984-07-02 00:00:00 UTC,1.1110000031067102E-7
1984-07-03 00:00:00 UTC,1.1030000024447872E-7
1984-07-04 00:00:00 UTC,1.1499999885700163E-7
1984-07-05 00:00:00 UTC,1.068500026235597E-7
1984-07-06 00:00:00 UTC,1.1280000222768649E-7
1984-07-07 00:00:00 UTC,1.0480000156576352E-7
1984-07-08 00:00:00 UTC,9.229999875515205E-8
1984-07-09 00:00:00 UTC,1.0029999941707501E-7
1984-07-10 00:00:00 UTC,1.097999984267517E-7
1984-07-11 00:00:00 UTC,1.207999957841821E-7
1984-07-12 00:00:00 UTC,1.10599998492944E-7
1984-07-13 00:00:00 UTC,1.049000033503944E-7
1984-07-14 00:00:00 UTC,9.930000288704832E-8
1984-07-15 00:00:00 UTC,1.2729999809835135E-7
1984-07-16 00:00:00 UTC,1.330000003463283E-7
1984-07-17 00:00:00 UTC,1.1219999862532859E-7
1984-07-18 00:00:00 UTC,1.0139999773173258E-7
1984-07-19 00:00:00 UTC,9.909999931778657E-8
1984-07-20 00:00:00 UTC,1.1179999859223244E-7
1984-07-21 00:00:00 UTC,1.0360000146647508E-7
1984-07-22 00:00:00 UTC,9.829999925159427E-8
1984-07-23 00:00:00 UTC,1.0560000163195582E-7
1984-07-24 00:00:00 UTC,1.1659999898938622E-7
1984-07-25 00:00:00 UTC,1.0459999799650177E-7
1984-07-26 00:00:00 UTC,1.081999982943671E-7
1984-07-27 00:00:00 UTC,1.1539999889009778E-7
1984-07-28 00:00:00 UTC,1.1699999902248237E-7
1984-07-29 00:00:00 UTC,1.2309999419812812E-7
1984-07-30 00:00:00 UTC,1.1600000249245568E-7
1984-07-31 00:00:00 UTC,1.244000031874748E-7
1984-08-01 00:00:00 UTC,1.3154999578546267E-7
1984-08-02 00:00:00 UTC,1.301999930092279E-7
1984-08-03 00:00:00 UTC,1.1520000242626338E-7
1984-08-04 00:00:00 UTC,1.1379999875771318E-7
1984-08-05 00:00:00 UTC,1.104000020291096E-7
1984-08-06 00:00:00 UTC,1.144999970392746E-7
1984-08-07 00:00:00 UTC,1.139500014346595E-7
1984-08-08 00:00:00 UTC,1.0769999647664008E-7
1984-08-09 00:00:00 UTC,1.0120000126789819E-7
1984-08-10 00:00:00 UTC,1.0419999796340562E-7
1984-08-11 00:00:00 UTC,1.096000019629173E-7
1984-08-12 00:00:00 UTC,1.1980000635958277E-7
1984-08-13 00:00:00 UTC,1.160999971716592E-7
1984-08-14 00:00:00 UTC,1.1379999875771318E-7
1984-08-15 00:00:00 UTC,1.1480000239316723E-7
1984-08-16 00:00:00 UTC,1.1870000093949784E-7
1984-08-17 00:00:00 UTC,1.1880000272412872E-7
1984-08-18 00:00:00 UTC,1.3090000550164405E-7
1984-08-19 00:00:00 UTC,1.2739999988298223E-7
1984-08-20 00:00:00 UTC,1.1729999727094764E-7
1984-08-21 00:00:00 UTC,1.301999930092279E-7
1984-08-22 00:00:00 UTC,1.3819999367115088E-7
1984-08-23 00:00:00 UTC,1.2350000133665162E-7
1984-08-24 00:00:00 UTC,1.1360000229387879E-7
1984-08-25 00:00:00 UTC,1.1089999674140927E-7
1984-08-26 00:00:00 UTC,9.709999915230583E-8
1984-08-27 00:00:00 UTC,1.026999996156519E-7
1984-08-28 00:00:00 UTC,9.099999687123272E-8
1984-08-29 00:00:00 UTC,8.580000354641015E-8
1984-08-30 00:00:00 UTC,9.080000040739833E-8
1984-08-31 00:00:00 UTC,9.050000215893306E-8
1984-09-01 00:00:00 UTC,8.789999839109441E-8
1984-09-02 00:00:00 UTC,9.26999987882482E-8
1984-09-03 00:00:00 UTC,8.09000013646255E-8
1984-09-04 00:00:00 UTC,7.229999710034463E-8
1984-09-05 00:00:00 UTC,6.509999650461396E-8
1984-09-06 00:00:00 UTC,5.629999932921237E-8
1984-09-07 00:00:00 UTC,5.4400000948362504E-8
1984-09-08 00:00:00 UTC,6.399999818995639E-8
1984-09-09 00:00:00 UTC,5.9499999593981556E-8
1984-09-10 00:00:00 UTC,5.900000132896821E-8
1984-09-11 00:00:00 UTC,9.499999720219421E-8
1984-09-12 00:00:00 UTC,8.290000153010624E-8
1984-09-13 00:00:00 UTC,9.080000040739833E-8
1984-09-14 00:00:00 UTC,9.490000252299069E-8
1984-09-15 00:00:00 UTC,8.330000156320239E-8
1984-09-16 00:00:00 UTC,8.170000143081779E-8
1984-09-17 00:00:00 UTC,8.410000162939468E-8
1984-09-18 00:00:00 UTC,6.949999686867159E-8
1984-09-19 00:00:00 UTC,6.289999987529882E-8
1984-09-20 00:00:00 UTC,6.310000344456057E-8
1984-09-21 00:00:00 UTC,6.420000175921814E-8
1984-09-22 00:00:00 UTC,6.6100000140068E-8
1984-09-23 00:00:00 UTC,6.369999994149111E-8
1984-09-24 00:00:00 UTC,5.620000109729517E-8
1984-09-25 00:00:00 UTC,4.250000174010893E-8
1984-09-26 00:00:00 UTC,5.4699999196827775E-8
1984-09-27 00:00:00 UTC,5.580000106419902E-8
1984-09-28 00:00:00 UTC,4.7800000402276055E-8
1984-09-29 00:00:00 UTC,4.0599999806545384E-8
1984-09-30 00:00:00 UTC,4.520000018715109E-8
1984-10-01 00:00:00 UTC,6.589999657080625E-8
1984-10-02 00:00:00 UTC,6.650000017316415E-8
1984-10-03 00:00:00 UTC,8.039999954689847E-8
1984-10-04 00:00:00 UTC,8.389999806013293E-8
1984-10-05 00:00:00 UTC,7.839999938141773E-8
1984-10-06 00:00:00 UTC,6.810000030554875E-8
1984-10-07 00:00:00 UTC,5.869999952778926E-8
1984-10-08 00:00:00 UTC,5.809999947814504E-8
1984-10-09 00:00:00 UTC,7.130000057031793E-8
1984-10-10 00:00:00 UTC,7.050000050412564E-8
1984-10-11 00:00:00 UTC,6.540000185850658E-8
1984-10-12 00:00:00 UTC,6.749999670319085E-8
1984-10-13 00:00:00 UTC,6.650000017316415E-8
1984-10-14 00:00:00 UTC,6.599999835543713E-8
1984-10-15 00:00:00 UTC,4.520000018715109E-8
1984-10-16 00:00:00 UTC,3.699999950868005E-8
1984-10-17 00:00:00 UTC,4.480000015405494E-8
1984-10-18 00:00:00 UTC,3.270000092925329E-8
1984-10-19 00:00:00 UTC,3.3999999260458935E-8
1984-10-20 00:00:00 UTC,4.1900001690464705E-8
1984-10-21 00:00:00 UTC,4.349999827013562E-8
1984-10-22 00:00:00 UTC,4.5099998402520214E-8
1984-10-23 00:00:00 UTC,4.480000015405494E-8
1984-10-24 00:00:00 UTC,4.589999846871251E-8
1984-10-25 00:00:00 UTC,4.6800000319535684E-8
1984-10-26 00:00:00 UTC,4.82999986672894E-8
1984-10-27 00:00:00 UTC,4.489999838597214E-8
1984-10-28 00:00:00 UTC,4.130000164082048E-8
1984-10-29 00:00:00 UTC,3.799999959142042E-8
1984-10-30 00:00:00 UTC,4.099999983964153E-8
1984-10-31 00:00:00 UTC,4.7400000369179907E-8
1984-11-01 00:00:00 UTC,3.8199999607968493E-8
1984-11-02 00:00:00 UTC,3.790000135950322E-8
1984-11-03 00:00:00 UTC,3.150000082996485E-8
1984-11-04 00:00:00 UTC,2.620000039144088E-8
1984-11-05 00:00:00 UTC,2.8800000606565845E-8
1984-11-06 00:00:00 UTC,3.4399999293555084E-8
1984-11-07 00:00:00 UTC,3.2599999144622416E-8
1984-11-08 00:00:00 UTC,3.5700001177474405E-8
1984-11-09 00:00:00 UTC,2.8800000606565845E-8
1984-11-10 00:00:00 UTC,2.76000005072774E-8
1984-11-11 00:00:00 UTC,2.999999892949745E-8
1984-11-12 00:00:00 UTC,3.419999927700701E-8
1984-11-13 00:00:00 UTC,3.450000107818596E-8
1984-11-14 00:00:00 UTC,3.270000092925329E-8
1984-11-15 00:00:00 UTC,2.7400000490729326E-8
1984-11-16 00:00:00 UTC,3.070000076377255E-8
1984-11-17 00:00:00 UTC,3.3999999260458935E-8
1984-11-18 00:00:00 UTC,2.830000056519566E-8
1984-11-19 00:00:00 UTC,2.695000134167458E-8
1984-11-20 00:00:00 UTC,2.6500000416262992E-8
1984-11-21 00:00:00 UTC,2.590000036661877E-8
1984-11-22 00:00:00 UTC,2.5100000300426473E-8
1984-11-23 00:00:00 UTC,3.1900000863060995E-8
1984-11-24 00:00:00 UTC,4.860000046846835E-8
1984-11-25 00:00:00 UTC,4.150000165736856E-8
1984-11-26 00:00:00 UTC,3.210000087960907E-8
1984-11-27 00:00:00 UTC,2.49000002838784E-8
1984-11-28 00:00:00 UTC,2.900000062311392E-8
1984-11-29 00:00:00 UTC,2.8200000556921623E-8
1984-11-30 00:00:00 UTC,2.2600000093575545E-8
1984-12-01 00:00:00 UTC,2.380000019286399E-8
1984-12-02 00:00:00 UTC,2.6800000441085103E-8
1984-12-03 00:00:00 UTC,2.4100000217686102E-8
1984-12-04 00:00:00 UTC,2.4700000267330324E-8
